country_code,tech_id,year,generation_twh,capacity_gw,emissions_mtco2,lcoe_usd_per_mwh,name,region,income,net_zero_target,name_y,category,emission_factor_gco2_kwh,decade
USA,1,2005,3.28,1.78,0.148,350.0,United States,North America,High,2050,Solar PV,Renewable,45,2000s
USA,2,2005,43.05,15.36,0.474,120.0,United States,North America,High,2050,Onshore Wind,Renewable,11,2000s
USA,3,2005,0.0,0.0,0.0,180.0,United States,North America,High,2050,Offshore Wind,Renewable,12,2000s
USA,4,2005,492.0,117.01,11.808,55.0,United States,North America,High,2050,Hydropower,Renewable,24,2000s
USA,5,2005,820.0,105.18,9.84,90.0,United States,North America,High,2050,Nuclear,Low-Carbon,12,2000s
USA,6,2005,1370.835,300.94,671.709,65.0,United States,North America,High,2050,Natural Gas,Fossil,490,2000s
USA,7,2005,1370.835,269.81,1124.085,70.0,United States,North America,High,2050,Coal,Fossil,820,2000s
USA,1,2006,4.488,2.44,0.202,308.0,United States,North America,High,2050,Solar PV,Renewable,45,2000s
USA,2,2006,51.104,18.23,0.562,112.8,United States,North America,High,2050,Onshore Wind,Renewable,11,2000s
USA,3,2006,0.0,0.0,0.0,167.4,United States,North America,High,2050,Offshore Wind,Renewable,12,2000s
USA,4,2006,494.952,117.71,11.879,58.22,United States,North America,High,2050,Hydropower,Renewable,24,2000s
USA,5,2006,812.546,104.22,9.751,91.8,United States,North America,High,2050,Nuclear,Low-Carbon,12,2000s
USA,6,2006,1463.601,321.3,717.164,68.22,United States,North America,High,2050,Natural Gas,Fossil,490,2000s
USA,7,2006,1297.91,255.45,1064.286,73.22,United States,North America,High,2050,Coal,Fossil,820,2000s
USA,1,2007,6.14,3.34,0.276,271.04,United States,North America,High,2050,Solar PV,Renewable,45,2000s
USA,2,2007,60.664,21.64,0.667,106.03,United States,North America,High,2050,Onshore Wind,Renewable,11,2000s
USA,3,2007,0.0,0.0,0.0,155.68,United States,North America,High,2050,Offshore Wind,Renewable,12,2000s
USA,4,2007,497.922,118.42,11.95,59.93,United States,North America,High,2050,Hydropower,Renewable,24,2000s
USA,5,2007,804.973,103.25,9.66,93.6,United States,North America,High,2050,Nuclear,Low-Carbon,12,2000s
USA,6,2007,1556.603,341.72,762.735,69.93,United States,North America,High,2050,Natural Gas,Fossil,490,2000s
USA,7,2007,1223.045,240.72,1002.897,74.93,United States,North America,High,2050,Coal,Fossil,820,2000s
USA,1,2008,8.4,4.57,0.378,238.52,United States,North America,High,2050,Solar PV,Renewable,45,2000s
USA,2,2008,72.013,25.69,0.792,99.67,United States,North America,High,2050,Onshore Wind,Renewable,11,2000s
USA,3,2008,0.0,0.0,0.0,144.78,United States,North America,High,2050,Offshore Wind,Renewable,12,2000s
USA,4,2008,500.909,119.13,12.022,59.32,United States,North America,High,2050,Hydropower,Renewable,24,2000s
USA,5,2008,797.281,102.26,9.567,95.4,United States,North America,High,2050,Nuclear,Low-Carbon,12,2000s
USA,6,2008,1649.428,362.1,808.22,69.32,United States,North America,High,2050,Natural Gas,Fossil,490,2000s
USA,7,2008,1146.213,225.6,939.895,74.32,United States,North America,High,2050,Coal,Fossil,820,2000s
USA,1,2009,11.493,6.25,0.517,209.89,United States,North America,High,2050,Solar PV,Renewable,45,2000s
USA,2,2009,85.486,30.5,0.94,93.69,United States,North America,High,2050,Onshore Wind,Renewable,11,2000s
USA,3,2009,0.0,0.0,0.0,134.65,United States,North America,High,2050,Offshore Wind,Renewable,12,2000s
USA,4,2009,503.915,119.84,12.094,56.67,United States,North America,High,2050,Hydropower,Renewable,24,2000s
USA,5,2009,789.466,101.26,9.474,97.2,United States,North America,High,2050,Nuclear,Low-Carbon,12,2000s
USA,6,2009,1741.536,382.32,853.353,66.67,United States,North America,High,2050,Natural Gas,Fossil,490,2000s
USA,7,2009,1067.393,210.08,875.262,71.67,United States,North America,High,2050,Coal,Fossil,820,2000s
USA,1,2010,15.724,8.55,0.708,184.71,United States,North America,High,2050,Solar PV,Renewable,45,2010s
USA,2,2010,101.478,36.2,1.116,88.07,United States,North America,High,2050,Onshore Wind,Renewable,11,2010s
USA,3,2010,0.0,0.0,0.0,125.22,United States,North America,High,2050,Offshore Wind,Renewable,12,2010s
USA,4,2010,506.938,120.56,12.167,53.25,United States,North America,High,2050,Hydropower,Renewable,24,2010s
USA,5,2010,781.53,100.24,9.378,99.0,United States,North America,High,2050,Nuclear,Low-Carbon,12,2010s
USA,6,2010,1832.23,402.23,897.793,63.25,United States,North America,High,2050,Natural Gas,Fossil,490,2010s
USA,7,2010,986.585,194.18,809.0,68.25,United States,North America,High,2050,Coal,Fossil,820,2010s
USA,1,2011,21.513,11.69,0.968,162.54,United States,North America,High,2050,Solar PV,Renewable,45,2010s
USA,2,2011,120.463,42.97,1.325,82.78,United States,North America,High,2050,Onshore Wind,Renewable,11,2010s
USA,3,2011,0.0,0.0,0.0,116.46,United States,North America,High,2050,Offshore Wind,Renewable,12,2010s
USA,4,2011,509.98,121.29,12.24,50.64,United States,North America,High,2050,Hydropower,Renewable,24,2010s
USA,5,2011,773.469,99.21,9.282,100.8,United States,North America,High,2050,Nuclear,Low-Carbon,12,2010s
USA,6,2011,1920.597,421.63,941.093,60.64,United States,North America,High,2050,Natural Gas,Fossil,490,2010s
